t,x,x_err,y,y_err
2002.2503,0.008122,0.002810,-0.014417,0.002810
2002.3351,-0.003988,0.001887,-0.009717,0.001887
2002.3927,-0.013654,0.002662,-0.002115,0.002662
2002.4085,-0.015542,0.002303,-0.000060,0.002303
2002.4115,-0.014656,0.002303,0.000165,0.002303
2002.4141,-0.014669,0.002296,0.001007,0.002296
2002.5779,-0.028115,0.002303,0.018543,0.002303
2002.6597,-0.031433,0.002232,0.024744,0.002232
2002.6598,-0.031164,0.002239,0.025192,0.002239
2003.2138,-0.038645,0.000248,0.064495,0.000250
2003.3506,-0.038987,0.000231,0.072918,0.000230
2003.3564,-0.038333,0.000270,0.072716,0.000272
2003.4459,-0.038206,0.000364,0.077700,0.000363
2003.4514,-0.038880,0.000289,0.078304,0.000288
2003.4517,-0.039112,0.000244,0.078367,0.000247
2003.4541,-0.038529,0.000225,0.078510,0.000225
2003.4544,-0.038902,0.000257,0.079660,0.000268
2003.5498,-0.038571,0.000225,0.083160,0.000225
2003.6756,-0.038292,0.000236,0.089728,0.000237
2003.6784,-0.038779,0.000454,0.089497,0.000454
2003.7605,-0.037706,0.000312,0.094713,0.000311
2004.2403,-0.034973,0.000617,0.111130,0.000618
2004.3253,-0.034656,0.000216,0.114102,0.000215
2004.3474,-0.033914,0.000226,0.115536,0.000225
2004.4427,-0.033868,0.000224,0.118277,0.000223
2004.5109,-0.033031,0.000275,0.120566,0.000275
2004.5133,-0.033167,0.000228,0.120970,0.000227
2004.5162,-0.033361,0.000320,0.121015,0.000319
2004.5163,-0.033067,0.000404,0.120989,0.000404
2004.5736,-0.032218,0.000260,0.122715,0.000268
2004.5740,-0.032185,0.000400,0.121764,0.000399
2004.6639,-0.031497,0.000216,0.125099,0.000216
2004.6696,-0.031914,0.000298,0.125305,0.000298
2004.7296,-0.031076,0.000217,0.127166,0.000216
2004.7297,-0.031842,0.000476,0.126828,0.000477
2005.2699,-0.026047,0.000228,0.140964,0.000227
2005.3658,-0.025066,0.000231,0.143145,0.000231
2005.3711,-0.024681,0.000237,0.143291,0.000237
2005.3736,-0.024732,0.000290,0.143295,0.000290
2005.4667,-0.024340,0.000270,0.144877,0.000270
2005.5702,-0.023521,0.000231,0.146921,0.000231
2005.5755,-0.022951,0.000257,0.147318,0.000257
2006.3239,-0.015745,0.000586,0.159666,0.000420
2007.5446,-0.001324,0.000641,0.173634,0.000505
2007.5498,-0.002599,0.000311,0.173144,0.000307
2007.6864,-0.001013,0.000345,0.173945,0.000344
2007.6865,-0.000409,0.000404,0.173943,0.000396
2008.1477,0.005981,0.000260,0.177017,0.000260
2008.1967,0.006516,0.000228,0.176999,0.000227
2008.2679,0.007442,0.000225,0.178010,0.000223
2008.4563,0.009740,0.000218,0.178217,0.000217
2008.4715,0.009448,0.000256,0.178649,0.000256
2008.4730,0.008960,0.000290,0.178221,0.000289
2008.5927,0.009961,0.000966,0.177644,0.000887
2008.6009,0.011839,0.000237,0.178243,0.000237
2008.7080,0.012639,0.000243,0.179188,0.000243
2009.1852,0.018427,0.000492,0.179136,0.000493
2009.2728,0.019080,0.000219,0.179228,0.000219
2009.3000,0.019590,0.000240,0.179297,0.000240
2009.3027,0.019323,0.000218,0.179550,0.000219
2009.3355,0.019387,0.000242,0.179235,0.000242
2009.3357,0.019530,0.000264,0.179197,0.000264
2009.3711,0.019665,0.000220,0.179019,0.000220
2009.5024,0.020902,0.000304,0.179006,0.000304
2009.5045,0.021160,0.000220,0.179223,0.000220
2009.5568,0.021934,0.000255,0.179507,0.000255
2009.5569,0.021253,0.000225,0.179442,0.000225
2009.6061,0.022264,0.000226,0.179535,0.000227
2009.7181,0.023875,0.000231,0.179094,0.000232
2009.7755,0.024138,0.000242,0.178988,0.000242
2010.2338,0.029474,0.000252,0.177499,0.000252
2010.2391,0.029632,0.000218,0.176633,0.000218
2010.2392,0.028958,0.000250,0.177121,0.000247
2010.2446,0.029254,0.000279,0.176824,0.000278
2010.3514,0.030610,0.000235,0.176564,0.000235
2010.4439,0.031769,0.000240,0.176096,0.000240
2010.4551,0.031772,0.000225,0.175943,0.000224
2010.4552,0.031350,0.000227,0.176116,0.000227
2010.4553,0.031162,0.000283,0.175436,0.000280
2010.4602,0.031319,0.000346,0.176149,0.000347
2010.6162,0.031834,0.000227,0.174410,0.000227
2010.6187,0.033894,0.000234,0.175088,0.000234
2010.6215,0.033318,0.000246,0.175095,0.000246
2010.6242,0.033212,0.000222,0.175329,0.000221
2010.6269,0.033512,0.000268,0.174926,0.000268
2010.6763,0.033573,0.000356,0.174054,0.000356
2010.6790,0.034182,0.000277,0.174430,0.000277
2011.2384,0.039724,0.000248,0.170660,0.000247
2011.2413,0.039667,0.001199,0.170571,0.001203
2011.2438,0.039120,0.000238,0.170393,0.000238
2011.2493,0.039493,0.000280,0.170291,0.000281
2011.3123,0.040348,0.000269,0.169828,0.000269
2011.3125,0.038876,0.000310,0.169942,0.000307
2011.3151,0.040494,0.000227,0.169742,0.000226
2011.3367,0.040408,0.000217,0.169349,0.000217
2011.4433,0.041429,0.000231,0.168444,0.000231
2011.5528,0.042541,0.000350,0.167604,0.000350
2011.6130,0.042703,0.000422,0.166901,0.000423
2011.6892,0.043985,0.000417,0.166282,0.000418
2011.6948,0.043873,0.000227,0.166081,0.000227
2011.6949,0.042762,0.000642,0.166212,0.000643
2011.6975,0.043917,0.000271,0.165955,0.000271
2011.7223,0.044078,0.000227,0.165609,0.000227
2012.2022,0.048019,0.000421,0.159846,0.000421
2012.3391,0.049584,0.000266,0.158391,0.000267
2012.4971,0.050110,0.000241,0.156247,0.000239
2012.5326,0.051374,0.000226,0.156194,0.000226
2012.5441,0.051083,0.000246,0.156100,0.000246
2012.5520,0.051671,0.000239,0.155810,0.000239
2012.5521,0.050491,0.000468,0.155556,0.000468
2012.6038,0.051741,0.000681,0.155036,0.000684
2012.6995,0.052047,0.000222,0.153351,0.000221
2013.1605,0.055316,0.000265,0.147069,0.000265
2013.2398,0.055515,0.000240,0.145818,0.000240
2013.3165,0.056506,0.000259,0.144577,0.000260
2013.3657,0.056665,0.000228,0.143433,0.000228
2013.4201,0.056698,0.000313,0.142740,0.000312
2013.4366,0.055966,0.000448,0.142703,0.000447
2013.4941,0.057276,0.000340,0.140936,0.000340
2013.5020,0.057265,0.000249,0.141064,0.000249
2013.5869,0.057909,0.000232,0.139501,0.000232
