t,x,x_err,y,y_err
1992.2241,0.009935,0.003241,0.170194,0.003364
1994.3138,0.033667,0.003226,0.177495,0.002525
1995.5340,0.041761,0.002677,0.170284,0.003077
1996.2528,0.047637,0.002517,0.162176,0.002305
1996.4270,0.050315,0.001530,0.160224,0.003890
1997.5442,0.063250,0.002565,0.128710,0.002168
1998.3725,0.069187,0.003097,0.120363,0.002180
1999.4652,0.071202,0.003251,0.104201,0.003075
2000.4721,0.058747,0.003597,0.061956,0.002154
2000.5230,0.066952,0.002200,0.056529,0.002203
2001.5017,0.052358,0.002786,0.022003,0.001401
2002.4882,-0.024928,0.007938,0.012940,0.007436
