t,vz,vz_err
2003.2711,-1571.,52.
2004.5351,-1055.,41.
2004.5370,-1056.,33.
2004.6320,-1039.,34.
2005.1579,-1001.,68.
2005.2117,-960.,33.
2005.2153,-910.,48.
2005.4554,-839.,53.
2005.4612,-907.,38.
2005.6769,-774.,68.
2005.7686,-860.,51.
2006.2040,-702.,37.
2006.3049,-718.,68.
2006.6242,-658.,50.
2007.2298,-586.,50.
2007.3041,-537.,50.
2007.5499,-505.,50.
2007.6728,-482.,50.
2008.2615,-394.,24.
2008.4312,-425.,55.
2009.3851,-241.,40.
2010.3539,-134.,24.
2011.3169,-3.,30.
2011.5665,35.,50.
2012.2104,185.,30.
2012.3418,167.,30.
2012.4942,195.,30.
2012.5133,186.,30.
2012.7050,190.,40.
2013.2621,313.,20.
2013.6551,361.,40.
2013.7262,384.,30.
2014.1848,490.,25.
2014.2628,515.,30.
2014.5212,568.,15.
2015.2988,765.,20.
2015.7057,869.,40.
2016.2842,1081.,40.
2016.5191,1198.,30.
